Intent_to_withdraw1,Intent_to_withdraw2,Intent_to_withdraw3,Intent_to_withdraw4,Intent_to_withdraw5,T_relatedness1,T_relatedness2,T_relatedness3,T_competence1,T_competence2,T_competence3,T_autonomy1,T_autonomy2,T_autonomy3,S_meaning1,S_meaning2,S_meaning3,S_confidence1,S_confidence2,S_confidence3,S_Intrinsic1,S_Intrinsic2,S_Intrinsic3
3,3,3,2,4,3,2,2,4,4,4,4,4,3,4,3,4,4,5,3,3,2,1
4,4,4,4,4,2,2,1,3,2,3,4,3,2,4,4,4,5,4,5,3,2,2
3,4,2,4,3,2,1,3,2,2,2,2,1,2,2,2,2,4,5,5,2,2,2
3,4,2,3,3,2,2,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3
3,3,3,2,4,3,2,2,4,4,4,4,4,3,4,3,4,4,5,3,3,2,1
4,4,2,4,4,3,2,4,4,4,4,4,4,3,4,2,2,5,5,5,3,3,4
4,4,4,4,4,2,1,3,4,4,3,3,3,3,3,4,4,5,5,4,2,2,3
4,4,4,4,4,4,3,3,3,4,2,4,4,4,4,4,4,3,4,4,2,3,3
4,2,2,4,2,2,3,4,3,4,4,3,2,3,4,2,4,5,5,5,3,3,3
4,4,4,4,4,2,1,3,4,4,3,3,3,3,3,4,4,5,5,4,2,2,3
3,3,3,2,3,1,1,5,2,2,2,3,1,1,3,1,4,5,5,5,2,2,3
4,4,4,4,4,2,1,3,4,4,3,3,3,3,3,4,4,5,5,4,2,2,3
3,4,2,4,4,4,4,5,4,4,5,4,3,4,4,4,4,4,4,4,5,5,4
4,4,4,5,4,2,2,2,2,2,3,2,1,2,3,3,3,4,3,4,2,4,2
4,4,4,5,4,2,2,2,2,2,3,2,1,2,3,3,3,4,3,4,2,4,2
1,1,1,1,1,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,3,3,3
4,4,4,3,4,2,2,3,2,4,2,4,4,4,4,2,4,1,5,5,3,4,2
5,5,5,5,5,1,1,1,4,1,4,1,1,1,5,5,5,5,5,5,1,1,1
2,2,2,2,3,4,2,4,4,4,4,4,4,3,4,4,4,3,4,4,3,3,3
2,4,2,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4
5,4,4,3,3,3,2,3,3,3,3,4,3,2,4,4,4,4,4,4,3,4,3
2,2,2,2,2,4,4,5,5,5,5,5,4,4,5,5,5,5,5,5,1,4,4
5,5,5,1,5,1,1,4,3,2,4,3,2,2,5,5,5,1,5,5,1,5,5
3,4,2,2,3,1,1,2,1,2,1,3,3,2,2,1,1,5,5,5,2,2,2
2,2,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
3,4,2,3,3,2,1,3,2,2,3,4,3,2,1,2,3,3,3,4,2,4,4
3,4,1,1,3,4,4,4,5,5,4,5,4,4,3,3,4,4,4,5,3,3,4
5,5,5,5,5,1,1,1,1,1,5,3,1,2,2,2,2,4,2,4,1,1,1
1,1,1,5,2,1,1,2,4,5,4,4,4,4,4,4,5,5,5,4,4,2,1
1,1,1,5,2,1,1,2,4,5,4,4,4,4,4,4,5,5,5,4,4,2,1
5,5,5,5,5,3,3,4,3,4,3,4,2,3,4,4,4,5,5,4,4,3,3
2,2,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
3,3,3,3,4,1,2,4,4,5,3,2,3,4,3,3,3,5,5,5,3,5,4
3,3,3,3,4,1,1,1,2,5,2,3,2,2,4,4,4,5,5,5,3,3,1
2,4,2,4,4,2,2,4,4,4,4,3,2,2,4,4,2,5,5,5,4,2,2
3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,3,1,1
4,5,4,4,5,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,3,1,1
2,3,1,3,2,2,1,3,3,3,3,3,3,2,4,4,4,4,4,4,3,4,3
1,1,1,5,1,3,3,4,3,4,4,3,4,3,4,3,4,4,4,4,2,2,2
5,5,5,5,5,3,3,4,3,4,3,4,2,3,4,4,4,5,5,4,4,3,3
2,3,1,2,3,4,4,5,4,4,5,5,4,4,2,2,2,5,5,5,4,4,4
3,3,3,3,3,2,2,2,3,3,3,4,3,3,3,2,2,5,5,5,3,3,3
3,3,2,4,2,3,3,3,3,3,3,3,3,3,4,4,4,4,5,4,3,3,2
2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,1,5,2,3,2,2,3,1,2,1,1,3,3,3,3,2,1
4,4,3,5,1,3,2,3,3,3,3,2,3,3,4,4,4,5,5,5,2,3,3
3,3,3,3,3,2,2,2,3,3,3,4,3,3,3,2,2,5,5,5,3,3,3
5,5,5,5,5,1,1,3,5,4,2,4,4,4,5,1,1,5,5,5,3,4,1
4,4,4,5,4,3,1,2,2,2,2,3,3,3,2,2,2,4,5,5,4,4,4
2,2,2,1,2,5,3,4,5,5,4,5,5,5,4,4,4,5,5,5,4,5,5
1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,3
2,4,1,2,4,2,1,2,3,4,3,2,3,1,2,4,2,4,4,4,1,2,2
4,4,3,5,4,4,2,5,5,5,5,1,3,5,4,3,3,2,2,4,3,4,4
2,2,1,2,3,4,3,5,1,4,5,4,4,4,3,4,5,5,4,4,5,5,4
1,2,1,2,2,2,4,4,5,4,4,4,4,4,5,4,4,4,4,5,2,4,4
5,5,5,5,4,1,1,2,4,3,2,2,3,1,5,4,4,1,2,2,2,2,2
2,3,2,3,3,4,2,5,3,4,3,2,3,2,3,3,4,5,4,5,3,4,4
3,4,2,3,4,4,3,5,5,5,5,4,5,4,5,3,4,5,5,5,5,5,4
3,3,2,3,1,1,2,2,3,2,3,1,1,3,2,2,1,3,4,1,3,3,1
5,5,5,5,5,1,1,3,5,4,3,5,4,5,1,1,1,5,4,5,4,5,5
3,4,3,4,4,3,2,3,4,3,4,3,3,3,5,5,5,5,5,5,3,4,3
5,5,5,5,5,1,2,1,2,2,2,2,2,2,3,4,4,5,5,5,3,2,2
5,5,5,5,3,2,2,3,3,4,3,2,2,1,2,2,4,5,5,5,2,2,2
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
5,5,5,5,5,1,1,1,3,3,3,3,1,1,4,5,5,5,5,5,1,3,3
5,5,4,5,5,1,1,1,1,1,1,1,1,1,2,4,4,5,5,5,1,5,1
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
4,4,4,5,4,3,3,2,3,3,3,2,2,2,5,5,5,4,5,5,2,4,3
4,4,4,5,4,3,3,2,3,3,3,2,2,2,5,5,5,4,5,5,2,4,3
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
4,3,2,3,3,3,2,4,3,3,4,3,2,2,2,2,2,4,5,5,4,4,2
4,4,4,3,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,2,3,4
3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,4,4,2,3,3,3,3,2
3,3,3,3,3,1,1,2,3,3,3,4,3,3,4,3,3,5,5,5,3,4,3
5,4,5,4,4,3,2,3,5,5,5,2,2,3,4,4,4,5,5,5,3,3,4
2,2,2,2,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,4,5,3
4,4,4,4,3,1,1,2,2,2,2,2,2,2,4,3,3,4,4,4,2,3,2
5,5,5,5,5,2,3,3,3,3,2,4,3,4,4,1,1,4,5,4,3,4,3
5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,2
4,4,3,4,5,1,1,3,1,1,1,3,1,2,1,3,2,5,5,5,3,3,3
2,4,2,4,4,4,2,4,4,4,2,2,4,2,4,4,4,4,4,4,4,4,2
5,5,5,5,5,1,1,5,1,1,5,1,1,1,4,3,4,5,5,5,3,5,1
3,4,4,3,4,2,2,4,1,1,4,3,3,3,4,5,4,4,5,5,3,4,4
4,4,4,4,4,1,1,2,2,2,4,2,2,2,2,2,2,1,5,4,2,4,4
4,4,3,4,4,3,2,2,2,2,2,2,3,2,2,2,3,4,5,5,3,4,2
4,4,3,4,4,3,4,4,3,4,3,3,3,3,4,4,4,5,5,5,4,3,3
5,5,5,1,5,4,1,3,1,1,5,1,1,1,1,1,1,4,5,5,3,5,2
1,2,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,4
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
5,5,5,5,1,3,3,3,3,3,3,2,4,2,5,5,5,5,5,5,5,4,4
4,5,5,5,4,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,1,1,1
5,5,5,5,4,2,2,2,4,2,4,2,2,2,4,2,2,5,5,5,2,2,2
5,5,4,5,5,1,2,2,1,2,1,2,2,1,2,2,2,2,2,4,2,2,2
4,4,2,4,5,1,1,1,1,1,2,1,2,2,2,2,2,5,4,5,1,2,2
3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,3,3,5,5,5,3,2,3
3,4,3,5,3,4,4,4,4,4,5,4,3,4,3,3,3,5,4,5,3,4,4
4,4,3,3,3,2,1,2,2,2,2,1,1,1,4,2,2,5,5,5,2,2,2
4,4,4,5,4,3,3,2,4,3,5,3,3,3,5,4,4,3,4,5,3,2,3
5,5,5,5,5,1,1,3,1,2,1,2,1,1,3,3,3,2,4,4,1,1,1
4,4,4,4,4,1,1,5,1,1,2,1,1,1,4,4,4,5,4,4,2,1,1
3,3,3,4,3,3,3,3,4,4,4,3,3,3,5,4,4,5,5,5,4,3,3
3,2,1,2,3,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,4
2,2,3,2,4,2,2,5,3,3,5,4,4,5,4,4,5,5,5,5,4,4,4
4,4,3,3,3,1,1,3,4,4,5,4,4,1,2,2,2,4,4,5,3,2,2
3,5,3,3,5,1,1,5,4,4,4,3,2,1,3,3,3,5,5,5,4,5,3
1,1,1,2,2,4,3,4,4,4,4,2,4,3,4,4,4,4,5,4,4,4,4
5,5,5,5,5,1,1,1,4,4,4,1,1,1,1,5,1,5,5,5,1,1,1
3,4,3,3,4,2,2,2,3,3,3,2,1,2,4,3,4,4,4,4,3,4,2
4,5,4,4,5,4,4,5,5,5,5,5,5,5,4,2,2,5,5,5,5,5,5
4,4,4,4,4,2,1,5,2,2,2,2,3,2,3,2,2,5,4,5,2,4,2
1,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2
2,2,1,1,3,2,2,4,4,5,3,4,4,4,4,4,4,1,5,5,3,4,4
4,5,4,5,5,4,3,4,4,4,4,3,3,4,2,3,3,5,5,5,3,4,3
5,5,5,5,4,1,1,4,3,3,4,3,2,2,3,2,2,4,4,5,3,3,2
4,4,4,3,4,2,1,4,2,3,3,2,3,2,4,1,4,5,5,5,4,1,2
4,4,2,4,4,5,5,4,3,2,3,4,2,3,1,1,2,1,1,1,3,2,1
2,4,1,2,4,4,2,4,4,5,4,4,4,4,2,4,4,5,5,5,1,2,1
3,3,3,4,4,1,1,4,3,3,3,2,2,2,2,2,2,5,4,5,2,2,2
1,1,1,5,1,5,1,1,5,3,3,5,5,5,5,5,5,5,5,5,1,5,5
2,3,2,3,1,1,3,3,4,5,5,5,3,2,4,4,5,5,5,5,1,5,3
3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,3,4,4,5,5,2,2,2
2,2,2,2,2,4,4,4,5,5,4,5,4,4,4,4,4,4,5,5,2,4,5
5,5,5,5,1,1,1,1,5,5,5,5,4,5,4,4,4,5,5,5,3,5,3
3,4,2,4,4,3,1,5,5,4,5,3,4,4,4,2,4,4,5,5,4,4,4
4,5,3,4,5,1,1,1,1,1,1,1,1,1,2,2,2,5,5,5,4,4,2
5,5,4,4,4,3,3,3,2,3,2,4,3,2,2,5,5,1,5,5,3,2,2
5,5,5,5,5,1,1,5,1,1,1,1,1,1,4,2,2,5,5,5,1,1,1
5,5,5,5,5,1,1,1,1,1,5,1,1,1,5,4,4,5,5,5,2,5,3
4,4,4,4,4,2,2,1,2,2,3,2,2,2,4,4,4,4,4,4,4,4,2
5,4,4,5,2,4,1,4,4,4,4,4,2,2,4,5,5,5,5,5,4,4,2
4,5,5,5,1,5,2,2,3,3,2,3,4,2,4,4,2,5,5,5,2,5,5
5,5,5,5,5,1,1,1,5,5,5,1,1,1,1,1,1,5,5,5,1,5,1
4,4,4,2,4,1,1,5,1,1,4,1,1,1,4,4,4,5,4,5,2,4,2
4,4,3,5,4,1,1,2,2,2,3,1,3,2,4,1,2,5,5,5,3,2,1
3,4,2,3,2,4,2,3,4,4,4,3,3,4,5,5,5,5,5,5,5,5,4
5,5,5,5,2,4,5,3,5,5,4,2,1,2,5,4,5,5,5,5,3,3,2
3,3,2,3,3,3,1,1,3,4,1,3,2,2,2,1,1,5,4,5,3,3,2
3,4,4,3,4,2,1,3,3,3,3,3,4,3,2,2,2,5,4,4,4,4,4
5,5,5,4,2,4,4,3,5,5,5,5,2,2,4,4,5,5,5,5,2,2,5
4,5,5,5,5,2,2,4,4,4,2,2,1,4,4,4,4,5,4,4,2,2,4
2,3,2,4,3,4,2,2,3,3,2,2,2,3,3,4,4,3,4,3,2,4,4
5,5,4,5,4,3,4,2,3,3,3,2,3,2,4,5,5,4,5,5,3,5,3
5,5,5,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,5,1
1,2,1,1,4,4,3,4,5,5,4,5,4,4,5,5,5,4,4,5,3,4,4
3,2,1,1,5,4,4,3,4,4,4,5,5,4,3,2,2,4,5,5,3,2,1
4,5,4,5,2,1,1,5,1,2,2,1,2,1,5,5,5,5,5,5,1,5,5
4,5,4,5,4,1,1,5,3,1,3,4,1,2,4,3,5,5,5,5,4,3,4
4,4,4,3,4,1,1,1,2,2,5,1,1,1,4,4,4,4,5,5,2,5,2
1,3,1,3,3,3,5,3,5,4,5,5,5,4,5,5,5,2,5,5,2,3,5
3,2,2,2,4,1,1,1,2,1,1,1,1,1,5,5,5,5,5,5,1,4,1
5,5,5,5,5,1,1,1,4,3,1,4,2,1,2,1,2,5,2,5,2,1,1
3,4,3,3,3,4,5,5,5,5,5,4,3,3,5,5,5,5,5,5,5,4,5
3,3,2,2,3,3,2,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4
4,4,1,3,5,3,2,4,5,5,5,5,4,5,5,4,4,4,4,4,5,4,4
2,2,2,2,2,3,3,3,3,4,4,3,4,3,5,5,5,5,5,5,4,4,4
5,5,5,4,5,4,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5
1,1,1,2,1,5,2,5,4,4,5,3,4,4,5,5,5,4,4,5,4,5,4
2,2,2,3,3,5,5,2,5,4,5,3,4,5,4,4,4,3,4,4,3,4,3
3,3,3,4,3,4,4,2,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4
3,4,3,5,4,1,4,5,5,4,4,4,3,1,5,3,4,3,5,4,2,5,4
3,5,2,3,4,3,4,4,4,4,4,4,2,3,5,5,5,5,5,5,4,4,5
1,2,1,1,4,4,3,4,5,5,4,5,4,4,5,5,5,4,4,5,3,4,4
4,4,3,4,4,1,1,5,1,3,2,1,2,2,3,4,4,4,4,4,4,3,2
4,4,4,5,4,1,1,4,4,4,4,3,3,2,5,5,5,5,5,5,2,4,2
3,4,2,3,2,5,5,5,4,4,4,5,4,4,5,5,5,4,4,5,4,4,3
4,4,4,4,4,1,1,5,1,1,1,1,1,1,4,4,4,4,4,4,2,1,1
4,4,4,4,4,1,1,5,1,1,1,1,1,1,4,4,4,4,4,4,2,1,1
4,4,5,5,2,4,2,4,3,3,4,5,5,3,2,2,2,4,5,5,3,3,3
4,4,4,3,5,1,1,3,4,4,3,4,4,1,4,3,4,4,5,5,4,4,4
4,4,4,5,4,1,1,5,3,3,5,3,1,1,4,4,3,5,5,5,5,5,1
3,5,3,5,3,3,5,5,4,2,4,2,1,2,4,3,3,5,4,5,4,4,3
4,4,5,4,2,2,2,2,3,2,3,2,2,2,5,5,5,5,5,5,4,5,4
3,5,3,5,3,3,5,5,4,2,4,2,1,2,4,3,3,5,4,5,4,4,3
5,5,5,4,4,2,2,2,3,3,2,2,1,1,4,3,3,5,5,5,2,2,3
4,5,4,5,2,1,1,1,2,1,2,1,1,2,4,1,1,5,5,5,1,4,1
5,5,5,5,5,4,4,4,4,4,4,4,4,4,2,4,4,4,5,5,4,4,4
4,5,4,5,4,1,1,5,3,1,3,4,1,2,4,3,5,5,5,5,4,3,4
4,4,4,5,4,1,1,4,4,4,4,3,3,2,5,5,5,5,5,5,2,4,2
5,5,5,5,5,3,1,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5
3,4,4,5,4,1,1,4,3,3,2,4,3,2,5,3,4,4,5,4,2,3,3
3,3,3,3,3,3,3,2,4,2,2,3,4,3,4,4,4,3,4,4,2,3,1
5,5,5,5,5,4,3,4,5,5,5,4,4,4,5,5,5,5,5,5,2,4,4
5,5,5,5,5,3,2,3,2,3,2,3,4,2,2,4,3,5,5,5,2,3,3
5,5,5,5,5,2,1,1,3,2,2,5,1,1,1,3,4,2,2,2,1,5,5
2,2,2,2,2,3,3,3,3,4,4,3,4,3,5,5,5,5,5,5,4,4,4
5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,1,1,3,3,3,5,1,1
4,4,4,4,4,2,2,2,5,4,5,5,2,3,4,4,4,5,5,5,4,5,3
